Variables,Adjusted R²,AIC
"farming_area_norm, aquaculture_area_norm, transportation_area_norm, retail_count_norm, road_length_norm, built_area_norm, entropy_landuse",0.05092244197998674,1053.5193847698508
"aquaculture_area_norm, transportation_area_norm, retail_count_norm, public_services_norm, road_length_norm, built_area_norm, entropy_landuse",0.05090851855994605,1053.5248861581958
"aquaculture_area_norm, pasture_area_norm, energy_area_norm, transportation_area_norm, road_length_norm, built_area_norm, entropy_landuse",0.05090702828300575,1053.5254749880664
"aquaculture_area_norm, pasture_area_norm, transportation_area_norm, retail_count_norm, public_services_norm, road_length_norm, built_area_norm, entropy_landuse",0.05090280947919279,1054.5039488982134
"farming_area_norm, aquaculture_area_norm, pasture_area_norm, transportation_area_norm, retail_count_norm, road_length_norm, built_area_norm, entropy_landuse",0.050777088829615624,1054.553619386998
"aquaculture_area_norm, pasture_area_norm, transportation_area_norm, road_length_norm, built_area_norm, entropy_landuse",0.050746122653941184,1052.6094544725493
"farming_area_norm, aquaculture_area_norm, pasture_area_norm, transportation_area_norm, road_length_norm, built_area_norm, entropy_production, entropy_landuse",0.0504826457085904,1054.6699240478072
"farming_area_norm, aquaculture_area_norm, pasture_area_norm, energy_area_norm, transportation_area_norm, road_length_norm, built_area_norm, entropy_production, entropy_landuse",0.05039680429175486,1055.6778320770086
"farming_area_norm, aquaculture_area_norm, energy_area_norm, transportation_area_norm, public_services_norm, road_length_norm, built_area_norm, entropy_landuse",0.05021633382434576,1054.7750858480379
"farming_area_norm, energy_area_norm, retail_count_norm, road_length_norm, built_area_norm, entropy_production, entropy_landuse",0.050175736234611024,1053.81430751492
"farming_area_norm, aquaculture_area_norm, transportation_area_norm, public_services_norm, road_length_norm, built_area_norm, entropy_landuse",0.050111786775287714,1053.8395545431367
"farming_area_norm, retail_count_norm, road_length_norm, built_area_norm, entropy_production, entropy_landuse",0.050067554665157776,1052.8774250277106
"energy_area_norm, retail_count_norm, public_services_norm, road_length_norm, built_area_norm, entropy_production, entropy_landuse",0.04994006942673723,1053.9073395572616
"farming_area_norm, aquaculture_area_norm, pasture_area_norm, energy_area_norm, transportation_area_norm, public_services_norm, road_length_norm, built_area_norm, entropy_landuse",0.04991531126294113,1055.8679263458093
"farming_area_norm, aquaculture_area_norm, pasture_area_norm, energy_area_norm, transportation_area_norm, retail_count_norm, public_services_norm, road_length_norm, built_area_norm, entropy_landuse",0.04980389952124842,1056.8830909369697
"farming_area_norm, aquaculture_area_norm, energy_area_norm, transportation_area_norm, retail_count_norm, public_services_norm, road_length_norm, built_area_norm, entropy_landuse",0.049773044089103546,1055.9240752311134
"retail_count_norm, public_services_norm, road_length_norm, built_area_norm, entropy_production, entropy_landuse",0.04975425588684734,1053.0010840019938
"transportation_area_norm, built_area_norm, entropy_production, entropy_landuse",0.04968584535788234,1051.0606055038415
"farming_area_norm, aquaculture_area_norm, transportation_area_norm, retail_count_norm, public_services_norm, road_length_norm, built_area_norm, entropy_landuse",0.04966168175011565,1054.9940134068459
"farming_area_norm, aquaculture_area_norm, pasture_area_norm, transportation_area_norm, public_services_norm, road_length_norm, built_area_norm, entropy_landuse",0.04958826343060663,1055.0229828862994
"farming_area_norm, aquaculture_area_norm, transportation_area_norm, road_length_norm, built_area_norm, entropy_landuse",0.04958247299871643,1053.0688693737675
"farming_area_norm, aquaculture_area_norm, energy_area_norm, transportation_area_norm, road_length_norm, built_area_norm, entropy_landuse",0.049504512887306285,1054.0792195283755
"farming_area_norm, aquaculture_area_norm, pasture_area_norm, transportation_area_norm, retail_count_norm, public_services_norm, road_length_norm, built_area_norm, entropy_landuse",0.049450628651481976,1056.0512925039025
"energy_area_norm, public_services_norm, road_length_norm, built_area_norm, entropy_production, entropy_landuse",0.04935487961201179,1053.1586586508743
"transportation_area_norm, retail_count_norm, public_services_norm, road_length_norm, entropy_production, entropy_landuse",0.04927845154141053,1053.1888059412001
"energy_area_norm, transportation_area_norm, retail_count_norm, public_services_norm, road_length_norm, entropy_production, entropy_landuse",0.04920137180893225,1054.1987990341854
"public_services_norm, road_length_norm, built_area_norm, entropy_production, entropy_landuse",0.0491836950169372,1052.243819284223
"farming_area_norm, aquaculture_area_norm, pasture_area_norm, energy_area_norm, transportation_area_norm, road_length_norm, built_area_norm, entropy_landuse",0.04915594280562707,1055.1935230500094
"transportation_area_norm, retail_count_norm, built_area_norm, entropy_production, entropy_landuse",0.049145946104381166,1052.2587070823574
"energy_area_norm, road_length_norm, built_area_norm, entropy_production, entropy_landuse",0.049145153975373,1052.25901948388
"road_length_norm, built_area_norm, entropy_production, entropy_landuse",0.04914123694182304,1051.2754498872296
"energy_area_norm, transportation_area_norm, built_area_norm, entropy_production, entropy_landuse",0.04909068515138937,1052.2805003903136
"pasture_area_norm, energy_area_norm, retail_count_norm, road_length_norm, built_area_norm, entropy_production, entropy_landuse",0.04907527517260235,1054.2485289158926
"aquaculture_area_norm, energy_area_norm, retail_count_norm, road_length_norm, built_area_norm, entropy_production, entropy_landuse",0.0490599612214494,1054.2545679695545
"farming_area_norm, aquaculture_area_norm, pasture_area_norm, transportation_area_norm, road_length_norm, built_area_norm, entropy_landuse",0.049023323101485716,1054.2690158103826
"aquaculture_area_norm, retail_count_norm, road_length_norm, built_area_norm, entropy_production, entropy_landuse",0.04896692838682537,1053.3116621528077
"pasture_area_norm, retail_count_norm, road_length_norm, built_area_norm, entropy_production, entropy_landuse",0.048958665291493175,1053.3149203436956
"farming_area_norm, transportation_area_norm, built_area_norm, entropy_production, entropy_landuse",0.048891483792715684,1052.3590490858687
"farming_area_norm, transportation_area_norm, retail_count_norm, built_area_norm, entropy_production, entropy_landuse",0.04872618361304737,1053.4065777431554
"transportation_area_norm, built_area_norm, entropy_landuse",0.048718031004593154,1050.454463219451
"energy_area_norm, transportation_area_norm, retail_count_norm, built_area_norm, entropy_production, entropy_landuse",0.048539000910826635,1053.4803594525017
"farming_area_norm, energy_area_norm, retail_count_norm, public_services_norm, road_length_norm, built_area_norm, entropy_production, entropy_landuse",0.04851189373830156,1055.447441281656
"farming_area_norm, retail_count_norm, public_services_norm, road_length_norm, built_area_norm, entropy_production, entropy_landuse",0.04831955876591065,1054.5464295759646
"farming_area_norm, energy_area_norm, transportation_area_norm, built_area_norm, entropy_production, entropy_landuse",0.048307148937399624,1053.5717283036938
"transportation_area_norm, public_services_norm, built_area_norm, entropy_production, entropy_landuse",0.048238343312984266,1052.6164788285878
"energy_area_norm, transportation_area_norm, built_area_norm, entropy_landuse",0.04815057163149894,1051.6659454205067
"farming_area_norm, energy_area_norm, transportation_area_norm, retail_count_norm, built_area_norm, entropy_production, entropy_landuse",0.04813176949208475,1054.6204187299677
